Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,sal,combined_features
 Manager / Sr Manager - Digital Ad Sales - Ecommerce,4 - 9 yrs, revenue generation| marketing| ad sales| web technologies,Corporate Sales,"Delhi NCR,Mumbai","Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager,121.0977529,14.6719732,3637," revenue generation| marketing| ad sales| web technologies Sales/Business Development Manager Internet, Ecommerce Sales , Retail , Business Development"
 Architect Junior/ Middle level,1 - 2 yrs, co ordination| team management| drafting| loans| online| coordination| quality,Architectural Services,Noida,"Architecture , Interior Design","BPO, Call Centre, ITeS",Project Architect,77.3271074,28.5707841,2577," co ordination| team management| drafting| loans| online| coordination| quality Project Architect BPO, Call Centre, ITeS Architecture , Interior Design"
 php developer,3 - 4 yrs, English| PHP| XML| DOM| SOAP| Com| Web technologies| Written communication| Email| Time,Programming & Design,Gurgaon,IT Software - Other,"Recruitment, Staffing",Software Developer,77.00270015,28.42826235,4436," English| PHP| XML| DOM| SOAP| Com| Web technologies| Written communication| Email| Time Software Developer Recruitment, Staffing IT Software - Other"
 Openstack Engineer / Openstack Admin with Ceph Storage,6 - 11 yrs, cloud| puppet| python| git| KVM| linux| jenkins| openstack| ansible,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst,77.590082,12.9767936,3679," cloud| puppet| python| git| KVM| linux| jenkins| openstack| ansible System Analyst IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Sr. Software Engineer,4 - 8 yrs, National| Branch| Vice President| J2Ee| Software,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms",Software Developer,77.3271074,28.5707841,5975," National| Branch| Vice President| J2Ee| Software Software Developer Strategy, Management Consulting Firms IT Software - Application Programming , Maintenance"
 Software Engineering- Mentor,1 - 5 yrs, Mentor| Android| Consulting| Usage| development| software| mobile| it| SIDE| Front end| Web technologies| Coding| web| backend| Open source| programming| Investment,Programming & Design,Bengaluru,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer,77.590082,12.9767936,3935," Mentor| Android| Consulting| Usage| development| software| mobile| it| SIDE| Front end| Web technologies| Coding| web| backend| Open source| programming| Investment Software Developer IT-Software, Software Services IT Software - Embedded , EDA , VLSI , ASIC , Chip Design"
 Application Tester,3 - 8 yrs, Performance Testing| Software Testing| Manual Testing| Quality Testing,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer,80.270186,13.0836939,5256," Performance Testing| Software Testing| Manual Testing| Quality Testing Testing Engineer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Credit Control - Manager / Asst. Manager,3 - 5 yrs, Pivot Table| Credit Analysis| Tally ERP| Accounting| VLOOKUP| Finance| Lookup| Advanced Excel| HLOOKUP| Credit Control,,Pune,Other,"Travel , Hotels , Restaurants , Airlines , Railways",Other,73.8544541,18.521428,3675," Pivot Table| Credit Analysis| Tally ERP| Accounting| VLOOKUP| Finance| Lookup| Advanced Excel| HLOOKUP| Credit Control Other Travel , Hotels , Restaurants , Airlines , Railways Other"
 Night Shift - Non Voice / Web Chat - BPO,0 - 5 yrs, international bpo| bpo| kpo| web chat| non voice process| e mail| international call center| customer service representative| cse| interpersonal skills| ites| uk shift| customer service| e - commerce| customer care| customer support| bpo fresher,Voice,"Ahmedabad,Gandhinagar,Vadodara","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),72.6300562,23.0876721,1738," international bpo| bpo| kpo| web chat| non voice process| e mail| international call center| customer service representative| cse| interpersonal skills| ites| uk shift| customer service| e - commerce| customer care| customer support| bpo fresher Associate/Senior Associate -(NonTechnical) BPO, Call Centre, ITeS ITES , BPO , KPO , LPO , Customer Service , Operations"
 Sales Executive,2 - 4 yrs, Innovative| Aggressive,Front Office/Customer Care,"Bengaluru,Hyderabad (1) ,Gurgaon,...More","Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Front Office/Guest Relations Executive/Manager,,,4134," Innovative| Aggressive Front Office/Guest Relations Executive/Manager Travel , Hotels , Restaurants , Airlines , Railways Hotels , Restaurants"
 Design Engineer Mechanical,7 - 12 yrs, Communication Skills| Detail Engineering| Material Handling| AutoCAD| Detailing| Design Engineering| Microstation| Bid Evaluation,Engineering Design,Kolkata,"Engineering Design , R&D","Oil and Gas, Energy, Power, Infrastructure",Design Engineer,88.35769124,22.5414185,6330," Communication Skills| Detail Engineering| Material Handling| AutoCAD| Detailing| Design Engineering| Microstation| Bid Evaluation Design Engineer Oil and Gas, Energy, Power, Infrastructure Engineering Design , R&D"
 Android developer,1 - 3 yrs, design| android| erp| software| mvc| quality,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.590082,12.9767936,4041," design| android| erp| software| mvc| quality Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Technical Writer,4 - 7 yrs, Technical Writing| Technical Documentation| Articles| Writing Skills| Product Support,QA/Testing/Documentation,Gurgaon,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Technical Writer,77.00270015,28.42826235,3753," Technical Writing| Technical Documentation| Articles| Writing Skills| Product Support Technical Writer IT-Software, Software Services IT Software - eCommerce , Internet Technologies"
" Pro-Engineer , Matlab ,Ansys",3 - 7 yrs, Ansys| thermal| MATLAB| System design| Recruitment| MCCB| Electricals,Engineering Design,Hyderabad,"Engineering Design , R&D","Recruitment, Staffing",Design Engineer,78.4740613,17.360589,2994," Ansys| thermal| MATLAB| System design| Recruitment| MCCB| Electricals Design Engineer Recruitment, Staffing Engineering Design , R&D"
 Business Development Executive - Kolkata,2 - 6 yrs, Product placement| Market research| Distributor handling| Business Development Executive| Customer service| Customer Service Executive| Secondary sales| Supervision,Retail Sales,Kolkata,"Sales , Retail , Business Development","Textiles, Garments, Accessories",Sales/Business Development Manager,88.35769124,22.5414185,6744," Product placement| Market research| Distributor handling| Business Development Executive| Customer service| Customer Service Executive| Secondary sales| Supervision Sales/Business Development Manager Textiles, Garments, Accessories Sales , Retail , Business Development"
 Accountant - UK Based Accounting,1 - 6 yrs, Management accounting| Accounting| VAT| Book Keeping| SAGE| Tax returns,Accounts,Ahmedabad,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant,72.5797068,23.0216238,5060," Management accounting| Accounting| VAT| Book Keeping| SAGE| Tax returns Accounts Executive/Accountant Recruitment, Staffing Accounts , Finance , Tax , Company Secretary , Audit"
 Opportunity For Current Account RM ||bank || Delhi,2 - 7 yrs, Trade| Forex Trading| Forex| fx| Lead Generation| Accounting| Banking| Revenue Generation| Current Account,Retail Sales,Delhi NCR,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager,77.1212148,28.6882438,6436," Trade| Forex Trading| Forex| fx| Lead Generation| Accounting| Banking| Revenue Generation| Current Account Sales/Business Development Manager Banking, Financial Services, Broking Sales , Retail , Business Development"
 PHP Developer,1 - 5 yrs, XML| Javascript| PHP| development| css| technical| analytical| software| testing| HTML| tools| Joomla| coding| jQuery| web| MySQL| Wordpress| design| XHTML| debugging| Ajax,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.3271074,28.5707841,3541," XML| Javascript| PHP| development| css| technical| analytical| software| testing| HTML| tools| Joomla| coding| jQuery| web| MySQL| Wordpress| design| XHTML| debugging| Ajax Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Senior Engineering Maintenance Manager For Knitting and ZLD System,12 - 22 yrs, zld| Engineering Management| knitting,Production/Manufacturing/Maintenance,Bengaluru,"Production , Manufacturing , Maintenance","Textiles, Garments, Accessories",Engineering Manager,77.590082,12.9767936,1802," zld| Engineering Management| knitting Engineering Manager Textiles, Garments, Accessories Production , Manufacturing , Maintenance"
 Accounting Specialist,0 - 3 yrs, Analyst| ERP| Change management| Business objects| Managed services| Business process mapping| Executive management| Data mining| oracle project accounting| Testing,Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Executive/Accountant,73.8544541,18.521428,4227," Analyst| ERP| Change management| Business objects| Managed services| Business process mapping| Executive management| Data mining| oracle project accounting| Testing Accounts Executive/Accountant IT-Software, Software Services Accounts , Finance , Tax , Company Secretary , Audit"
 Manager (Service Operation),8 - 12 yrs, ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,Chennai,"HR , Recruitment , Administration , IR","Construction, Engineering, Cement, Metals",Training Manager,80.270186,13.0836939,5688," ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition Training Manager Construction, Engineering, Cement, Metals HR , Recruitment , Administration , IR"
 DevOps Engineer Intern,0 - 1 yrs, Intern| Linux| Windows| Unix| DNS| C++| Perl| IIS| Redhat| HTTP,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,78.4740613,17.360589,5179," Intern| Linux| Windows| Unix| DNS| C++| Perl| IIS| Redhat| HTTP Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 PHP Developer (wordpress & Woo Commerce/shopify / Magento),2 - 5 yrs, C| Woocommerce| Magento| Wordpress| MySQL| PHP| Shopify| JQuery| Web Development| Ajax,Programming & Design,Ahmedabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,72.5797068,23.0216238,6185," C| Woocommerce| Magento| Wordpress| MySQL| PHP| Shopify| JQuery| Web Development| Ajax Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Java Developer,1 - 2 yrs, CSS| Singleton| XML| Javascript| JDBC| Struts| JSON| HTML| Spring Boot| JQuery,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,72.8773928,19.0759899,4877," CSS| Singleton| XML| Javascript| JDBC| Struts| JSON| HTML| Spring Boot| JQuery Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
